car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class
51,49,139.016,46.348,48.758,44.209,3,7,2,97.6,74.4,Green,dry,17.1,6958.779,LMGT3
51,50,138.94,45.698,48.161,44.51,3,8,2,94.5,70.7,Green,dry,17.3,7097.719,LMGT3
51,51,138.22,46.007,48.006,44.06,3,9,2,91.3,67.1,Green,dry,17.3,7235.938,LMGT3
51,52,137.702,45.423,48.383,44.076,3,10,2,88.2,63.4,Green,dry,17.4,7373.64,LMGT3
51,53,137.319,44.818,48.43,43.527,3,11,2,85.1,59.8,Green,dry,17.4,7510.959,LMGT3
51,54,138.603,45.776,48.935,44.089,3,12,2,81.7,56.1,Green,dry,17.7,7649.562,LMGT3
51,55,139.126,46.132,48.257,44.168,3,13,2,78.5,52.4,Green,dry,17.7,7788.689,LMGT3
51,56,137.463,45.707,48.362,43.519,3,14,2,75.2,48.8,Green,dry,17.7,7926.152,LMGT3
51,57,140.644,46.31,48.83,45.243,3,15,2,72.1,45.1,Green,dry,18.0,8066.795,LMGT3
51,58,139.021,46.218,48.247,44.522,3,16,2,68.9,41.5,Green,dry,18.0,8205.817,LMGT3
51,59,139.45,45.993,48.663,44.773,3,17,2,65.7,37.8,Green,dry,18.2,8345.267,LMGT3
51,60,140.433,46.58,49.209,45.025,3,18,2,62.5,34.2,Green,dry,18.2,8485.7,LMGT3
51,61,140.96,46.354,49.736,45.215,3,19,2,59.3,30.5,Green,dry,18.4,8626.66,LMGT3
51,62,140.349,46.146,49.556,44.419,3,20,2,56.1,26.8,Green,dry,18.4,8767.009,LMGT3
51,63,140.576,46.378,49.552,44.572,3,21,2,53.0,23.2,Green,dry,18.9,8907.585,LMGT3
51,64,137.642,45.619,48.672,44.442,4,1,2,117.0,96.3,Green,dry,18.9,9129.96,LMGT3
51,65,139.17,45.431,49.184,44.525,4,2,2,113.6,92.7,Green,dry,19.0,9269.13,LMGT3
51,66,138.269,45.847,48.429,44.223,4,3,2,110.3,89.0,Green,dry,19.0,9407.399,LMGT3
51,67,138.656,46.225,48.741,44.069,4,4,2,107.2,85.4,Green,dry,19.2,9546.055,LMGT3
51,68,138.447,45.895,48.724,43.89,4,5,2,104.0,81.7,Green,dry,19.2,9684.502,LMGT3
51,69,137.886,45.323,48.354,43.993,4,6,2,100.7,78.1,Green,dry,19.2,9822.388,LMGT3
51,70,137.815,45.528,47.937,44.285,4,7,2,97.4,74.4,Green,dry,19.2,9960.203,LMGT3
51,71,136.874,44.671,47.523,43.773,4,8,2,94.4,70.7,Green,dry,19.3,10097.077,LMGT3
51,72,138.377,45.271,48.783,44.527,4,9,2,91.1,67.1,Green,dry,19.3,10235.455,LMGT3
51,73,137.9,45.998,47.97,44.007,4,10,2,87.7,63.4,Green,dry,19.5,10373.355,LMGT3
51,74,139.404,45.552,49.073,44.937,4,11,2,84.5,59.8,Green,dry,19.5,10512.759,LMGT3
51,75,138.983,46.189,48.33,44.21,4,12,2,81.2,56.1,Green,dry,19.9,10651.742,LMGT3
51,76,138.733,45.598,48.645,44.577,4,13,2,77.8,52.4,Green,dry,19.9,10790.475,LMGT3
51,77,138.302,46.039,48.53,44.296,4,14,2,74.6,48.8,Green,dry,19.9,10928.777,LMGT3
51,78,139.405,45.859,48.683,44.641,4,15,2,71.3,45.1,Green,dry,20.1,11068.182,LMGT3
51,79,138.656,45.799,48.461,44.203,4,16,2,68.2,41.5,Green,dry,20.1,11206.838,LMGT3
51,80,140.798,46.13,49.658,45.051,4,17,2,65.0,37.8,Green,dry,20.5,11347.636,LMGT3
51,81,141.122,47.068,49.645,45.366,4,18,2,61.7,34.2,Green,dry,20.5,11488.758,LMGT3
51,82,141.52,46.406,49.746,45.28,4,19,2,58.7,30.5,Green,dry,20.5,11630.279,LMGT3
51,83,141.746,46.813,49.49,45.316,4,20,2,55.6,26.8,Green,dry,20.5,11772.025,LMGT3
51,84,141.614,46.773,49.551,45.225,4,21,2,52.4,23.2,Green,dry,20.5,11913.639,LMGT3
51,85,139.037,45.981,48.99,44.951,5,1,2,116.7,96.3,Green,dry,20.5,12137.533,LMGT3
51,86,138.486,45.624,48.258,44.431,5,2,2,113.6,92.7,Green,dry,20.7,12276.02,LMGT3
51,87,138.755,45.39,48.32,44.628,5,3,2,110.5,89.0,Green,dry,20.7,12414.774,LMGT3
51,88,137.948,45.941,48.572,43.666,5,4,2,107.5,85.4,Green,dry,20.8,12552.722,LMGT3
51,89,138.181,45.474,47.932,43.795,5,5,2,104.2,81.7,Green,dry,20.8,12690.903,LMGT3
51,90,136.746,45.537,47.484,43.495,5,6,2,100.9,78.1,Green,dry,20.8,12827.649,LMGT3
51,91,136.987,45.543,47.778,43.647,5,7,2,97.8,74.4,Green,dry,20.8,12964.636,LMGT3
51,92,137.226,45.164,48.273,43.618,5,8,2,94.5,70.7,Green,dry,21.0,13101.861,LMGT3
51,93,138.845,45.433,48.51,44.794,5,9,2,91.3,67.1,Green,dry,21.0,13240.706,LMGT3
51,94,139.291,45.947,49.17,44.66,5,10,2,88.1,63.4,Green,dry,21.0,13379.998,LMGT3
51,95,136.904,44.927,47.994,43.475,5,11,2,84.8,59.8,Green,dry,21.0,13516.902,LMGT3
51,96,136.969,45.48,47.717,43.55,5,12,2,81.6,56.1,Green,dry,21.5,13653.871,LMGT3
51,97,137.536,45.862,48.096,44.069,5,13,2,78.4,52.4,Green,dry,21.5,13791.407,LMGT3
51,98,139.401,45.687,48.59,44.418,5,14,2,75.2,48.8,Green,dry,21.5,13930.809,LMGT3
51,99,139.258,46.255,48.59,44.531,5,15,2,72.0,45.1,Green,dry,21.7,14070.066,LMGT3
51,100,140.186,46.598,49.152,44.653,5,16,2,68.9,41.5,Green,dry,21.7,14210.252,LMGT3
51,101,140.726,46.474,49.235,45.029,5,17,2,65.7,37.8,Green,dry,21.8,14350.978,LMGT3
51,102,141.164,46.418,48.983,45.426,5,18,2,62.6,34.2,Green,dry,21.8,14492.142,LMGT3
51,103,140.076,46.252,49.327,45.303,5,19,2,59.3,30.5,Green,dry,21.5,14632.217,LMGT3
51,104,141.967,46.757,49.74,45.183,5,20,2,56.0,26.8,Green,dry,21.5,14774.184,LMGT3
51,105,140.444,46.441,48.995,45.011,5,21,2,52.8,23.2,Green,dry,21.4,14914.627,LMGT3
51,106,139.69,46.201,49.199,45.164,6,1,2,116.6,96.3,Green,dry,21.1,15141.167,LMGT3
51,107,140.151,46.156,48.877,44.435,6,2,2,113.6,92.7,Green,dry,21.1,15281.318,LMGT3
51,108,137.98,45.881,47.916,44.53,6,3,2,110.3,89.0,Green,dry,21.1,15419.298,LMGT3
51,109,138.083,45.978,48.454,44.022,6,4,2,107.0,85.4,Green,dry,20.9,15557.381,LMGT3
51,110,138.658,45.291,48.861,44.216,6,5,2,103.9,81.7,Green,dry,20.9,15696.039,LMGT3
51,111,138.586,46.094,48.224,44.822,6,6,2,100.7,78.1,Green,dry,21.1,15834.624,LMGT3
51,112,138.675,45.828,49.022,44.347,6,7,2,97.6,74.4,Green,dry,21.1,15973.299,LMGT3
51,113,137.105,45.257,48.228,44.072,6,8,2,94.4,70.7,Green,dry,20.8,16110.404,LMGT3
51,114,137.785,45.614,48.147,43.724,6,9,2,91.3,67.1,Green,dry,20.8,16248.189,LMGT3
51,115,139.23,46.129,49.053,44.583,6,10,2,88.1,63.4,Green,dry,21.0,16387.418,LMGT3
51,116,139.066,45.459,48.578,44.499,6,11,2,84.9,59.8,Green,dry,21.0,16526.485,LMGT3
51,117,138.887,45.473,48.374,44.21,6,12,2,81.8,56.1,Green,dry,20.5,16665.372,LMGT3
51,118,138.993,46.001,48.642,44.551,6,13,2,78.7,52.4,Green,dry,20.5,16804.365,LMGT3
51,119,139.359,46.259,48.698,44.449,6,14,2,75.5,48.8,Green,dry,20.5,16943.724,LMGT3
51,120,140.848,46.07,49.568,44.64,6,15,2,72.4,45.1,Green,dry,20.5,17084.573,LMGT3
51,121,140.803,46.881,49.503,45.167,6,16,2,69.2,41.5,Green,dry,20.5,17225.376,LMGT3
51,122,141.404,47.117,49.126,45.233,6,17,2,66.1,37.8,Green,dry,20.9,17366.78,LMGT3
51,123,139.79,45.793,49.268,45.079,6,18,2,62.8,34.2,Green,dry,20.9,17506.57,LMGT3
51,124,142.018,46.989,49.68,45.29,6,19,2,59.8,30.5,Green,dry,20.5,17648.588,LMGT3
51,125,140.61,46.606,49.312,44.955,6,20,2,56.6,26.8,Green,dry,20.5,17789.197,LMGT3
51,126,140.116,45.741,49.508,44.342,6,21,2,53.5,23.2,Green,dry,20.8,17929.313,LMGT3
51,127,140.132,46.434,49.067,44.429,7,1,2,116.7,96.3,Green,dry,20.8,18139.946,LMGT3
51,128,140.189,46.401,49.325,45.085,7,2,2,113.4,92.7,Green,dry,21.1,18280.135,LMGT3
51,129,137.991,45.94,48.443,44.35,7,3,2,110.1,89.0,Green,dry,21.1,18418.126,LMGT3
51,130,136.457,44.575,47.848,44.166,7,4,2,106.8,85.4,Green,dry,20.8,18554.583,LMGT3
51,131,137.918,45.326,47.892,44.365,7,5,2,103.6,81.7,Green,dry,20.8,18692.5,LMGT3
51,132,136.999,45.131,48.245,44.085,7,6,2,100.5,78.1,Green,dry,20.3,18829.5,LMGT3
51,133,136.691,45.131,47.987,43.891,7,7,2,97.4,74.4,Green,dry,20.3,18966.191,LMGT3
51,134,137.622,45.396,48.553,44.069,7,8,2,94.1,70.7,Green,dry,20.1,19103.813,LMGT3
51,135,137.906,45.581,48.571,44.168,7,9,2,91.0,67.1,Green,dry,20.1,19241.719,LMGT3
51,136,138.584,45.753,48.431,44.723,7,10,2,87.7,63.4,Green,dry,20.3,19380.302,LMGT3
51,137,137.981,46.024,47.794,43.84,7,11,2,84.5,59.8,Green,dry,20.3,19518.284,LMGT3
51,138,137.967,45.099,47.798,43.702,7,12,2,81.2,56.1,Green,dry,20.0,19656.251,LMGT3
51,139,137.222,45.263,48.108,43.683,7,13,2,78.1,52.4,Green,dry,20.0,19793.473,LMGT3
51,140,138.152,45.426,48.376,44.441,7,14,2,75.0,48.8,Green,dry,20.0,19931.624,LMGT3
51,141,138.19,45.4,48.719,44.436,7,15,2,71.9,45.1,Green,dry,20.1,20069.814,LMGT3
51,142,140.118,46.649,48.586,44.447,7,16,2,68.7,41.5,Green,dry,20.1,20209.932,LMGT3
51,143,139.85,46.607,49.246,44.511,7,17,2,65.7,37.8,Green,dry,20.4,20349.782,LMGT3
51,144,140.695,46.814,49.344,45.426,7,18,2,62.3,34.2,Green,dry,20.4,20490.477,LMGT3
51,145,142.123,46.466,49.645,45.817,7,19,2,59.0,30.5,Green,dry,20.0,20632.601,LMGT3
51,146,140.278,45.912,48.644,44.773,7,20,2,55.7,26.8,Green,dry,20.0,20772.879,LMGT3
51,147,140.025,46.534,49.309,44.938,7,21,2,52.4,23.2,Green,dry,19.8,20912.904,LMGT3
51,148,138.938,45.865,48.62,44.957,8,1,2,116.9,96.3,Green,dry,19.8,21123.731,LMGT3
51,149,140.041,46.336,49.262,44.348,8,2,2,113.7,92.7,Green,dry,20.1,21263.772,LMGT3
51,150,138.72,45.735,48.443,44.163,8,3,2,110.4,89.0,Green,dry,20.1,21402.492,LMGT3
51,151,137.639,45.773,47.709,43.874,8,4,2,107.3,85.4,Green,dry,20.2,21540.132,LMGT3
51,152,138.965,45.64,48.391,43.974,8,5,2,104.0,81.7,Green,dry,20.2,21679.097,LMGT3
58,1,141.44,46.708,49.966,44.87,1,1,1,116.9,96.5,Green,dry,18.5,141.44,LMGT3
58,2,142.071,46.445,50.108,45.479,1,2,1,113.6,92.9,Green,dry,18.5,283.51,LMGT3
58,3,140.769,46.616,49.313,45.41,1,3,1,110.4,89.4,Green,dry,18.5,424.279,LMGT3
58,4,140.361,46.687,48.872,44.573,1,4,1,107.2,85.9,Green,dry,18.3,564.64,LMGT3
58,5,138.828,45.552,49.02,44.031,1,5,1,104.0,82.3,Green,dry,18.3,703.468,LMGT3
58,6,140.398,46.713,49.601,44.893,1,6,1,100.9,78.8,Green,dry,18.6,843.866,LMGT3
58,7,140.972,46.841,49.069,45.52,1,7,1,97.9,75.3,Green,dry,18.6,984.839,LMGT3
58,8,138.591,45.992,48.266,44.042,1,8,1,94.7,71.7,Green,dry,18.3,1123.43,LMGT3
58,9,138.893,45.894,48.228,44.322,1,9,1,91.5,68.2,Green,dry,18.3,1262.322,LMGT3
58,10,138.746,45.415,48.345,43.917,1,10,1,88.2,64.7,Green,dry,18.6,1401.069,LMGT3
58,11,140.002,46.093,48.68,45.054,1,11,1,84.9,61.1,Green,dry,18.6,1541.071,LMGT3
58,12,141.064,46.822,49.82,44.807,1,12,1,81.8,57.6,Green,dry,19.0,1682.135,LMGT3
58,13,141.085,46.532,48.938,44.722,1,13,1,78.5,54.1,Green,dry,19.0,1823.22,LMGT3
58,14,141.386,46.833,49.431,45.391,1,14,1,75.2,50.5,Green,dry,18.9,1964.606,LMGT3
58,15,140.732,46.007,49.578,44.906,1,15,1,72.0,47.0,Green,dry,18.9,2105.337,LMGT3
58,16,142.625,46.567,49.578,45.609,1,16,1,68.9,43.4,Green,dry,18.7,2247.962,LMGT3
58,17,143.266,47.632,50.17,46.171,1,17,1,65.8,39.9,Green,dry,18.7,2391.228,LMGT3
58,18,141.712,47.038,49.329,44.979,1,18,1,62.5,36.4,Green,dry,18.7,2532.94,LMGT3
58,19,143.611,46.923,50.495,46.365,1,19,1,59.2,32.8,Green,dry,19.0,2676.551,LMGT3
58,20,143.865,47.736,50.295,45.849,1,20,1,55.8,29.3,Green,dry,19.0,2820.417,LMGT3
58,21,142.621,47.311,49.618,46.007,1,21,1,52.5,25.8,Green,dry,18.6,2963.038,LMGT3
58,22,144.033,47.502,50.455,45.75,1,22,1,49.3,22.2,Green,dry,18.6,3107.071,LMGT3
58,23,140.762,45.969,49.563,44.838,2,1,2,116.8,96.5,Green,dry,18.3,3319.536,LMGT3
58,24,142.12,46.585,49.704,44.98,2,2,2,113.4,92.9,Green,dry,18.5,3461.656,LMGT3
58,25,139.908,45.917,49.026,44.496,2,3,2,110.2,89.4,Green,dry,18.5,3601.564,LMGT3
58,26,138.762,45.617,48.657,44.337,2,4,2,107.0,85.9,Green,dry,18.2,3740.325,LMGT3
58,27,141.133,46.539,49.577,45.058,2,5,2,103.9,82.3,Green,dry,18.2,3881.459,LMGT3
58,28,141.177,46.745,49.669,45.629,2,6,2,100.6,78.8,Green,dry,18.2,4022.636,LMGT3
58,29,141.055,46.797,49.015,44.74,2,7,2,97.3,75.3,Green,dry,18.5,4163.691,LMGT3
58,30,140.182,46.242,48.774,44.704,2,8,2,94.3,71.7,Green,dry,18.5,4303.873,LMGT3
58,31,140.826,46.045,49.323,45.447,2,9,2,90.9,68.2,Green,dry,18.5,4444.699,LMGT3
58,32,138.954,45.713,48.456,44.943,2,10,2,87.6,64.7,Green,dry,18.5,4583.653,LMGT3
58,33,139.359,46.31,48.317,44.765,2,11,2,84.4,61.1,Green,dry,18.3,4723.012,LMGT3
58,34,141.535,47.103,49.632,45.408,2,12,2,81.3,57.6,Green,dry,18.3,4864.547,LMGT3
58,35,140.659,46.853,49.678,45.136,2,13,2,78.2,54.1,Green,dry,18.1,5005.206,LMGT3
58,36,141.208,46.583,49.584,45.24,2,14,2,74.9,50.5,Green,dry,18.1,5146.414,LMGT3
58,37,140.76,46.432,48.807,44.707,2,15,2,71.6,47.0,Green,dry,17.9,5287.175,LMGT3
58,38,141.563,46.809,49.697,45.28,2,16,2,68.4,43.4,Green,dry,17.9,5428.738,LMGT3
58,39,142.344,46.944,50.065,45.922,2,17,2,65.2,39.9,Green,dry,18.1,5571.082,LMGT3
58,40,142.109,46.558,49.259,45.628,2,18,2,62.2,36.4,Green,dry,18.1,5713.191,LMGT3
58,41,142.108,46.889,49.319,45.378,2,19,2,58.9,32.8,Green,dry,17.8,5855.299,LMGT3
58,42,142.07,46.587,50.065,45.136,2,20,2,55.8,29.3,Green,dry,17.8,5997.369,LMGT3
58,43,144.47,48.021,50.693,46.466,2,21,2,52.6,25.8,Green,dry,17.8,6141.838,LMGT3
58,44,144.205,47.631,50.486,46.234,2,22,2,49.4,22.2,Green,dry,17.6,6286.043,LMGT3
58,45,141.19,46.748,49.909,44.965,3,1,2,116.7,96.5,Green,dry,17.2,6500.115,LMGT3
58,46,140.588,46.36,49.542,44.724,3,2,2,113.5,92.9,Green,dry,17.2,6640.703,LMGT3
58,47,140.432,46.444,49.284,44.811,3,3,2,110.4,89.4,Green,dry,17.1,6781.135,LMGT3
58,48,139.767,45.692,48.855,44.323,3,4,2,107.2,85.9,Green,dry,17.1,6920.902,LMGT3
58,49,139.532,46.125,48.999,44.245,3,5,2,104.0,82.3,Green,dry,17.3,7060.434,LMGT3
58,50,140.293,46.196,49.461,44.403,3,6,2,100.8,78.8,Green,dry,17.3,7200.727,LMGT3
58,51,140.183,46.157,48.801,44.593,3,7,2,97.6,75.3,Green,dry,17.4,7340.91,LMGT3
58,52,141.08,46.387,49.327,45.315,3,8,2,94.4,71.7,Green,dry,17.4,7481.99,LMGT3
58,53,139.083,45.985,49.128,44.259,3,9,2,91.2,68.2,Green,dry,17.4,7621.074,LMGT3
58,54,139.745,46.222,48.768,44.752,3,10,2,88.1,64.7,Green,dry,17.7,7760.819,LMGT3
58,55,141.0,46.476,49.714,45.178,3,11,2,84.8,61.1,Green,dry,17.7,7901.819,LMGT3
58,56,140.386,46.814,48.758,44.655,3,12,2,81.8,57.6,Green,dry,18.0,8042.205,LMGT3
58,57,139.086,45.623,48.36,44.096,3,13,2,78.5,54.1,Green,dry,18.0,8181.291,LMGT3
58,58,139.296,46.156,48.651,44.555,3,14,2,75.3,50.5,Green,dry,18.2,8320.588,LMGT3
58,59,141.003,46.354,49.824,45.201,3,15,2,72.2,47.0,Green,dry,18.2,8461.59,LMGT3
58,60,141.031,46.383,49.393,44.756,3,16,2,69.0,43.4,Green,dry,18.4,8602.621,LMGT3
58,61,140.967,46.959,49.571,44.772,3,17,2,65.9,39.9,Green,dry,18.4,8743.588,LMGT3
58,62,141.395,46.317,49.223,45.71,3,18,2,62.7,36.4,Green,dry,18.9,8884.983,LMGT3
58,63,141.866,47.295,49.528,44.915,3,19,2,59.4,32.8,Green,dry,18.9,9026.849,LMGT3
58,64,142.113,47.262,50.008,45.089,3,20,2,56.1,29.3,Green,dry,19.0,9168.963,LMGT3
58,65,143.972,47.611,50.831,46.398,3,21,2,52.8,25.8,Green,dry,19.0,9312.935,LMGT3
58,66,143.883,47.33,50.018,46.148,3,22,2,49.6,22.2,Green,dry,19.2,9456.818,LMGT3
58,67,141.585,46.512,49.164,45.458,4,1,2,116.9,96.5,Green,dry,19.2,9673.091,LMGT3
58,68,141.692,46.697,49.994,45.719,4,2,2,113.6,92.9,Green,dry,19.2,9814.783,LMGT3
58,69,139.109,45.782,48.485,44.664,4,3,2,110.3,89.4,Green,dry,19.2,9953.892,LMGT3
58,70,139.208,46.048,48.786,44.427,4,4,2,107.0,85.9,Green,dry,19.3,10093.1,LMGT3
58,71,139.893,46.21,48.907,44.28,4,5,2,103.8,82.3,Green,dry,19.3,10232.993,LMGT3
58,72,140.067,46.365,49.283,44.822,4,6,2,100.7,78.8,Green,dry,19.5,10373.06,LMGT3
58,73,140.012,46.551,49.418,45.118,4,7,2,97.4,75.3,Green,dry,19.5,10513.072,LMGT3
58,74,138.861,45.851,48.347,44.412,4,8,2,94.3,71.7,Green,dry,19.9,10651.933,LMGT3
58,75,139.73,46.358,49.121,44.735,4,9,2,91.1,68.2,Green,dry,19.9,10791.663,LMGT3
58,76,140.999,46.926,48.921,45.574,4,10,2,87.9,64.7,Green,dry,19.9,10932.662,LMGT3
58,77,140.596,46.094,49.188,44.685,4,11,2,84.7,61.1,Green,dry,20.1,11073.258,LMGT3
58,78,139.296,45.991,48.924,45.004,4,12,2,81.5,57.6,Green,dry,20.1,11212.554,LMGT3
58,79,140.385,45.917,49.352,44.823,4,13,2,78.3,54.1,Green,dry,20.5,11352.939,LMGT3
58,80,141.703,46.784,49.219,45.704,4,14,2,75.0,50.5,Green,dry,20.5,11494.642,LMGT3
58,81,141.276,46.416,49.74,44.894,4,15,2,71.9,47.0,Green,dry,20.5,11635.918,LMGT3
58,82,142.869,46.734,50.32,45.592,4,16,2,68.7,43.4,Green,dry,20.5,11778.787,LMGT3
58,83,142.043,46.377,49.853,45.469,4,17,2,65.6,39.9,Green,dry,20.5,11920.83,LMGT3
58,84,142.516,47.177,49.555,45.466,4,18,2,62.3,36.4,Green,dry,20.5,12063.346,LMGT3
58,85,143.685,47.473,50.045,45.781,4,19,2,59.0,32.8,Green,dry,20.7,12207.031,LMGT3
58,86,143.473,47.517,50.525,46.178,4,20,2,55.7,29.3,Green,dry,20.7,12350.504,LMGT3
58,87,142.088,46.542,49.466,45.837,4,21,2,52.5,25.8,Green,dry,20.8,12492.592,LMGT3
58,88,143.295,46.966,49.965,45.585,4,22,2,49.3,22.2,Green,dry,20.8,12635.886,LMGT3
58,89,141.213,46.242,49.199,45.285,5,1,3,116.9,96.5,Green,dry,20.8,12850.989,LMGT3
58,90,141.408,46.61,49.717,44.766,5,2,3,113.8,92.9,Green,dry,20.8,12992.397,LMGT3
58,91,139.14,46.019,48.536,44.93,5,3,3,110.5,89.4,Green,dry,21.0,13131.537,LMGT3
58,92,140.415,46.482,49.241,44.834,5,4,3,107.3,85.9,Green,dry,21.0,13271.951,LMGT3
58,93,139.352,46.103,48.716,44.924,5,5,3,104.2,82.3,Green,dry,21.0,13411.303,LMGT3
58,94,140.268,46.429,48.865,44.979,5,6,3,101.1,78.8,Green,dry,21.0,13551.571,LMGT3
58,95,140.358,46.275,48.815,44.467,5,7,3,98.0,75.3,Green,dry,21.5,13691.928,LMGT3
58,96,139.584,46.558,48.801,44.5,5,8,3,94.9,71.7,Green,dry,21.5,13831.512,LMGT3
58,97,140.215,46.733,49.21,45.124,5,9,3,91.8,68.2,Green,dry,21.7,13971.727,LMGT3
58,98,139.137,45.838,49.02,44.025,5,10,3,88.6,64.7,Green,dry,21.7,14110.864,LMGT3
58,99,139.57,46.033,48.732,44.282,5,11,3,85.3,61.1,Green,dry,21.8,14250.434,LMGT3
